query,accession,title,organism,n_samples,date,has_pub,type,platform,summary
Alzheimer's disease AND control AND GPL6244,GSE58959,NLRP3 inflammasome activation-responsive genes in a human monocyte cell line THP-1,Homo sapiens,3.0,2014/07/01,False,Expression profiling by array,6244,"inflammasome, activated by pathogen-derived and host-derived danger signals, constitutes a multimolecular signaling complex that serves as a platform for caspase-1 (casp1) activation and interleukin-1beta (il1b) maturation. the activation of nlrp3 inflammasome requires two-step signals. the first “priming” signal (signal 1) enhances gene expression of inflammasome components. the second “activation” signal (signal 2) promotes the assembly of inflammasome components. deregulated activation of nlrp3 inflammasome contributes to the pathological processes of alzheimer’s disease (ad) and multiple sclerosis (ms). however, at present, the precise mechanism regulating nlrp3 inflammasome activation and deactivation remains largely unknown. by genome-wide gene expression profiling, we studied the molecular network of nlrp3 inflammasome activation-responsive genes in a human monocyte cell line thp-1 sequentially given two-step signals. we identified the set of 83 nlrp3 inflammasome activation-responsive genes. among them, we found the nr4a nuclear receptor family nr4a1, nr4a2, and nr4a3, the egr family egr1, egr2, and egr3, the ikappab family nfkbiz, nfkbid, and nfkbia as a key group of the genes that possibly constitute a negative feedback loop for shutting down inflammation following nlrp3 inflammasome activation. by molecular network analysis, we identified a complex network of nlrp3 inflammasome activation-responsive genes involved in cellular development and death, and immune and inflammatory responses, where transcription factors ap-1, nr4a, and egr serve as a hub. thus, nlrp3 inflammasome activation-responsive genes constitute the molecular network composed of a set of negative feedback regulators for prompt resolution of inflammation."
Alzheimer's disease AND control AND GPL6244,GSE36980,Expression data from post mortem Alzheimer's disease brains,Homo sapiens,80.0,2013/04/17,True,Expression profiling by array,6244,"to identify molecular pathological alterations in ad brains, we performed interspecies comparative microarray analyses using rnas prepared from postmortem human brain tissues donated for the hisayama study and hippocampal rnas from the triple-transgenic mouse model of ad (3xtg-ad) three-way anova of microarray data from frontal cortex, temporal cortex and hippocampus with presence/absence of ad and vascular dementia, and sex, as factors revealed that the gene expression profile is most significantly altered in the hippocampi of ad brains. comparative analyses of the brains of ad patients and a mouse model of ad showed that genes involved in non-insulin dependent dm and obesity were significantly altered in both, as were genes related to psychiatric disorders and alzheimer’s disease."
Alzheimer's disease AND control AND GPL6244,GDS4758,Postmortem Alzheimer's disease brains: Hisayama study,Homo sapiens,79.0,2013/04/17,True,Expression profiling by array,6244,"analysis of postmortem brain tissues (frontal cortex, temporal cortex, hippocampus) from male and female hisayama residents pathologically diagnosed as having alzheimer's disease (ad) or an ad-like disorder. results provide insight into the molecular mechanisms underlying ad brain pathology."
Alzheimer's disease AND control AND GPL6244,GSE43326,"Gene expression data from iPSC-derived neural cells, comparison between APP wild and E693delta mutation",Homo sapiens,6.0,2013/03/22,True,Expression profiling by array,6244,"oligomeric forms of amyloid-beta peptide (abeta) are presumed to play a pivotal role in the pathogenesis of alzheimer’s disease (ad). however, it is still unclear how abeta oligomers contribute to ad pathogenesis in patient neural cells. we generated induced pluripotent stem cells (ipscs) from a familial ad patient and differentiated them into neural cells. abeta oligomers were accumulated in neural cells of ad bearing amyloid precursor protein (app)-e693delta mutation. to uncover abeta oligomers in ad(app-e693delta) neural cells, we analyzed gene expression profiles of control and the ad neural cells"
Alzheimer's disease AND control AND GPL6244,GSE33503,Gene expression profile of DAP12 knockdown THP-1 cells following exposure to phorbol 12-myristate 13-acetate,Homo sapiens,4.0,2011/11/17,True,Expression profiling by array,6244,"nasu-hakola disease (nhd), also designated polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy (plosl), is a rare autosomal recessive disorder characterized by progressive presenile dementia and formation of multifocal bone cysts, caused by a loss-of-function mutation of dap12 or trem2. trem2 and dap12 constitute a receptor/adaptor complex expressed on osteoclasts, dendritic cells, macrophages, monocytes, and microglia. at present, the precise molecular mechanisms underlying development of leukoencephalopathy and bone cysts in nhd remain largely unknown. we established thp-1 human monocyte clones that stably express small interfering rna (sirna) targeting dap12 for serving as a cellular model of nhd. genome-wide transcriptome analysis identified a set of 22 genes consistently downregulated in dap12 knockdown cells. they constituted the molecular network closely related to the network defined by cell-to-cell signaling and interaction, hematological system development and function, and inflammatory response, where nf-kappab acts as a central regulator. these results suggest that a molecular defect of dap12 in human monocytes deregulates the gene network pivotal for maintenance of myeloid cell function in nhd. we found that both dap12 knockdown and control clones were capable of equally responding to phorbol 12-myristate 13-acetate (pma), a known inducer of morphological differentiation of thp-1 cells, by exhibiting almost similar gene expression profiles between both, following a 24-hour exposure to 50 nm pma."
Alzheimer's disease AND control AND GPL6244,GSE33500,"Gene expression profile of THP-1 monocytes following knockdown of DAP12, a causative gene for Nasu-Hakola disease",Homo sapiens,3.0,2011/11/17,True,Expression profiling by array,6244,"nasu-hakola disease (nhd), also designated polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy (plosl), is a rare autosomal recessive disorder characterized by progressive presenile dementia and formation of multifocal bone cysts, caused by a loss-of-function mutation of dap12 or trem2. trem2 and dap12 constitute a receptor/adaptor complex expressed on osteoclasts, dendritic cells, macrophages, monocytes, and microglia. at present, the precise molecular mechanisms underlying development of leukoencephalopathy and bone cysts in nhd remain largely unknown. we established thp-1 human monocyte clones that stably express small interfering rna (sirna) targeting dap12 for serving as a cellular model of nhd. genome-wide transcriptome analysis identified a set of 22 genes consistently downregulated in dap12 knockdown cells. they constituted the molecular network closely related to the network defined by cell-to-cell signaling and interaction, hematological system development and function, and inflammatory response, where nf-kappab acts as a central regulator. these results suggest that a molecular defect of dap12 in human monocytes deregulates the gene network pivotal for maintenance of myeloid cell function in nhd."
Alzheimer's disease AND control AND GPL6244,GDS4137,Nasu-Hakola disease model: DAP12 knockdown THP-1 clones,Homo sapiens,4.0,2011/11/17,True,Expression profiling by array,6244,"analysis of dap12-deficient acute monocytic leukemia thp-1 cells that serve as a model of nhd, following treatment with 12-myristate 13-acetate (pma). pma is a known inducer of morphological differentiation of thp-1 cells. results provide insight into molecular mechanisms underlying nhd pathology."
Alzheimer's disease AND control AND GPL6244,GSE25496,Transcriptome analysis of the Nasu-Hakola disease brain,Homo sapiens,2.0,2010/11/20,True,Expression profiling by array,6244,"nasu-hakola disease (nhd), also designated polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy (plosl; omim 221770), is a rare autosomal recessive disorder, characterized by progressive presenile dementia and formation of multifocal bone cysts, caused by genetic mutations of dap12 and trem2, which constitute a receptor/adapter signaling complex expressed on osteoclasts, dendritic cells, macrophages, and microglia. no japanese patients with trem2 mutations have been reported previously. we reported three siblings affected with nhd in a japanese family. among them, two died of nhd during the fourth decade of life. the transcriptome was studied in the autopsized brain of one patient. we found a homozygous conversion of a single nucleotide t to c at the second position of intron 3 in the splice-donor consensus site (c.482+2t>c) of the trem2 gene, resulting in exon 3 skipping. we identified 136 upregulated genes involved in inflammatory response and immune cell trafficking and 188 downregulated genes including a battery of gaba receptor subunits and synaptic proteins in the patient’s brain."
Alzheimer's disease AND control AND GPL6244,GPL6244,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],Homo sapiens,38703.0,2007/12/05,False,,6244,"affymetrix submissions are typically submitted to geo using the geoarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html june 03, 2009: annotation table updated with netaffx build 28 june 18, 2012: annotation table updated with netaffx build 32 july 01, 2016: annotation table updated with netaffx build 35 protocol: see manufacturer's web site"
Alzheimer's disease AND control AND GPL10558,GSE139384,"Synaptopathy in Kii ALS/PDC, a disease concept based on transcriptome analyses of human brains",Homo sapiens,33.0,2019/10/26,True,Expression profiling by array,10558,"amyotrophic lateral sclerosis (als) and parkinsonism-dementia complex (pdc) (als/pdc) is a unique endemic neurodegenerative disease, with high-incidence foci in the kii peninsula, japan. although als/pdc presents with multiple proteinopathies, the genetic and environmental factors that influence disease onset remain unknown. we performed transcriptome analyses of patients’ brains, which may provide new insights into the pathomechanisms underlying kii als/pdc. we prepared frozen brains from 3 healthy controls (frontal lobe and temporal lobe), 3 patients with alzheimer’s disease (ad) (frontal lobe and temporal lobe) as tauopathy-disease controls, and 21 patients with kii als/pdc (frontal lobe and/or temporal lobe). we acquired microarray data from the cerebral gray and white matter tissues of kii als/pdc patients. microarray data revealed that the expression levels of genes associated with neurons, heat shock proteins (hsps), dna binding/damage, and senescence were significantly changed in kii als/pdc brains compared with those in control brains. the rna expression pattern observed for kii als type brains was similar to that for kii pdc type brains and unlike those of control and ad brains. additionally, pathway and network analyses indicated that the molecular pathogenic mechanism underlying kii als/pdc may be associated with the oxidative phosphorylation of mitochondria, ribosomes, and the synaptic vesicle cycle; in particular, upstream regulators of these mechanisms may be found in synapses and during synaptic trafficking. therefore, we propose the novel disease concept of “synaptopathy” for kii als/pdc. furthermore, phenotypic differences between kii als type and kii pdc type were observed, based on the human leukocyte antigen (hla) haplotype. we performed exhaustive transcriptome analyses of kii als/pdc brains, for the first time, and revealed new insights indicating that kii als/pdc may be a synaptopathy. determining the relationship between synaptic dysfunction and the pathogenesis of als/pdc may provide a new step toward understanding this mysterious disease."
Alzheimer's disease AND control AND GPL10558,GSE118553,Transcriptomic analysis of probable asymptomatic and symptomatic Alzheimer Brains,Homo sapiens,401.0,2019/07/22,True,Expression profiling by array,10558,"objectives: individuals with intact cognition and neuropathology consistent with alzheimer’s disease (ad) are referred to as asymptomatic ad (asymad). these individuals are highly likely to develop ad, yet transcriptomic changes in the brain which might reveal mechanisms for their ad vulnerability are currently unknown. methods: differential and co-expression analysis was performed on microarray profiled human brains of 27 control , 33 asymad and 52 ad subjects. tissues known to be affected by ad neuropathology (entorhinal cortex, temporal cortex, frontal cortex) and tissue partially spared by the disease (cerebellum). results: the asymad subjects exhibited significant changes in transcriptomic activity in the frontal cortex when compared to ad and control subjects. fourteen genes (gpm6b, ankef1, npc2, aldh2, fbln2, mettl7a, flcn, asphd1, arl5a, gpr162, hba2, pcid2, bend3 and rap1gap) were highly associated with ad neuropathology with overall disturbances in the “glutamate-glutamine cycle”, “oxidative phosphorylation”, “innate immune system”, “tyrobp network”, “neutrophil degranulation” and “amino acid metabolism” in both the asymad and ad subjects. conclusions: transcriptomic activity in asymad subjects suggests fundamental changes in ad brains may begin within the frontal cortex region. in addition, we provide new insight into the earliest biological changes occurring in the brain prior to clinical ad diagnosis which offers new avenues for therapeutic interventions for preventing ad. we provide access of gene-level results to the broader research community through a publicly available r shiny web-application accessible at: https://phidatalab-shiny.rosalind.kcl.ac.uk/adbrainde"
Alzheimer's disease AND control AND GPL10558,GSE63063,"Alzheimer, Mild Cognitive impairment and control samples from AddneuroMed Cohort",Homo sapiens,717.0,2015/08/05,True,Expression profiling by array,10558;6947,this superseries is composed of the subseries listed below.
Alzheimer's disease AND control AND GPL10558,GSE63061,"Alzheimer, Mild Cognitive impairment and control samples from AddneuroMed Cohort (batch 2)",Homo sapiens,388.0,2015/08/05,True,Expression profiling by array,10558,"alzheimer case-control samples originate from the eu funded addneuromed cohort, which is a large cross-european ad biomarker study relying on human blood as the source of rna."
Alzheimer's disease AND control AND GPL10558,GSE58364,Human leukocytes from 6 volunteers before and 2h after pectin capsules consumption (IV),Homo sapiens,12.0,2014/06/10,True,Expression profiling by array,10558,"methanol (meoh) is considered to be a poison in humans because of the alcohol dehydrogenase (adh)-mediated conversion of meoh into toxic formaldehyde (fa). our recent genome-wide analysis of the mouse brain demonstrated that an increase in endogenous meoh after adh inhibition led to a significant increase in the plasma meoh concentration and the modification of mrna synthesis. these findings suggest endogenous meoh involvement in homeostasis regulation by controlling mrna levels. here, we demonstrate directly that study volunteers displayed increasing concentrations of meoh and fa in their blood plasma when consuming citrus pectin, ethanol and red wine. a microarray analysis of white blood cells (wbc) in volunteers after pectin intake showed various responses for 30 differentially regulated mrnas. most of the mrnas were somehow involved in the pathogenesis of alzheimer's disease (ad). there was also a decreased synthesis of hemoglobin mrna, hba and hbb, the presence of which in wbc rna was not a result of red blood cells contamination because erythrocyte-specific marker genes did not show significant change. a qrt-pcr analysis of volunteer wbc after pectin and red wine intake confirmed the complicated dependence between plasma meoh content and the mrna accumulation of previously identified genes, namely gapdh and snx27, and mme, sorl1, ddit4, hba and hbb genes revealed in this study. we hypothesized that human plasma meoh, which is replenished from endogenous and exogenous sources (diet), has an impact on the wbc mrna levels of genes involved in ad pathogenesis and signaling."
Alzheimer's disease AND control AND GPL10558,GSE58349,Human leukocytes from 6 volunteers before and 2h after pectin capsules consumption (II),Homo sapiens,12.0,2014/06/10,True,Expression profiling by array,10558,"methanol (meoh) is considered to be a poison in humans because of the alcohol dehydrogenase (adh)-mediated conversion of meoh into toxic formaldehyde (fa). our recent genome-wide analysis of the mouse brain demonstrated that an increase in endogenous meoh after adh inhibition led to a significant increase in the plasma meoh concentration and the modification of mrna synthesis. these findings suggest endogenous meoh involvement in homeostasis regulation by controlling mrna levels. here, we demonstrate directly that study volunteers displayed increasing concentrations of meoh and fa in their blood plasma when consuming citrus pectin, ethanol and red wine. a microarray analysis of white blood cells (wbc) in volunteers after pectin intake showed various responses for 30 differentially regulated mrnas. most of the mrnas were somehow involved in the pathogenesis of alzheimer's disease (ad). there was also a decreased synthesis of hemoglobin mrna, hba and hbb, the presence of which in wbc rna was not a result of red blood cells contamination because erythrocyte-specific marker genes did not show significant change. a qrt-pcr analysis of volunteer wbc after pectin and red wine intake confirmed the complicated dependence between plasma meoh content and the mrna accumulation of previously identified genes, namely gapdh and snx27, and mme, sorl1, ddit4, hba and hbb genes revealed in this study. we hypothesized that human plasma meoh, which is replenished from endogenous and exogenous sources (diet), has an impact on the wbc mrna levels of genes involved in ad pathogenesis and signaling."
Alzheimer's disease AND control AND GPL10558,GSE58348,Human leukocytes from 6 volunteers before and 2h after pectin capsules consumption (I),Homo sapiens,12.0,2014/06/10,True,Expression profiling by array,10558,"methanol (meoh) is considered to be a poison in humans because of the alcohol dehydrogenase (adh)-mediated conversion of meoh into toxic formaldehyde (fa). our recent genome-wide analysis of the mouse brain demonstrated that an increase in endogenous meoh after adh inhibition led to a significant increase in the plasma meoh concentration and the modification of mrna synthesis. these findings suggest endogenous meoh involvement in homeostasis regulation by controlling mrna levels. here, we demonstrate directly that study volunteers displayed increasing concentrations of meoh and fa in their blood plasma when consuming citrus pectin, ethanol and red wine. a microarray analysis of white blood cells (wbc) in volunteers after pectin intake showed various responses for 30 differentially regulated mrnas. most of the mrnas were somehow involved in the pathogenesis of alzheimer's disease (ad). there was also a decreased synthesis of hemoglobin mrna, hba and hbb, the presence of which in wbc rna was not a result of red blood cells contamination because erythrocyte-specific marker genes did not show significant change. a qrt-pcr analysis of volunteer wbc after pectin and red wine intake confirmed the complicated dependence between plasma meoh content and the mrna accumulation of previously identified genes, namely gapdh and snx27, and mme, sorl1, ddit4, hba and hbb genes revealed in this study. we hypothesized that human plasma meoh, which is replenished from endogenous and exogenous sources (diet), has an impact on the wbc mrna levels of genes involved in ad pathogenesis and signaling."
Alzheimer's disease AND control AND GPL10558,GSE34879,Probing sporadic and familial Alzheimer?s disease using induced pluripotent stem cells.,Homo sapiens,38.0,2012/01/06,True,Expression profiling by array,10558,"our understanding of alzheimer’s disease (ad) pathogenesis is currently limited by difficulties in obtaining live neurons from patients and the inability to model the sporadic form of ad. it may be possible to overcome these challenges by reprogramming primary cells from patients into induced pluripotent stem cells (ipscs). we reprogrammed primary fibroblasts from two patients with familial ad (both caused by a duplication of app1, appdp), two with sporadic ad (sad1, 2) and two non-demented control individuals (ndcs) into ipsc lines. neurons from differentiated cultures were facs-purified and characterized. purified cultures contained >90% neurons, clustered with fetal brain mrna samples by microarray criteria, and could form functional synaptic contacts. virtually all cells exhibited normal electrophysiological activity. relative to controls, ipsc-derived, purified neurons from the two appdp patients and patient sad2 exhibited significantly higher levels of secreted aβ1-40, phospho-tauthr231 (ptau) and active gsk3β (agsk3β). neurons from appdp and sad2 patients also accumulated large rab5-positive early endosomes compared to controls. treatment of purified neurons with β-secretase inhibitors, but not g-secretase inhibitors, caused significant reductions in ptau and agsk3β levels. these results suggest a direct relationship between app proteolytic processing, but not aβ, in gsk3β activation and tau phosphorylation in human neurons. additionally, we observed that neurons with the genome of one sad patient exhibited the phenotypes seen in familial ad samples. more generally, we demonstrate that ipsc technology can be used to observe phenotypes relevant to ad, even though it can take decades for overt disease to manifest in patients."
Alzheimer's disease AND control AND GPL10558,GSM856938,iPSC_APPdp2.3__683.1917.1.1,Homo sapiens,0.0,2012/01/06,False,,10558,appdp2.3
Alzheimer's disease AND control AND GPL10558,GSM856919,diff.neuron.APPdp2.3_683.1915.2.1,Homo sapiens,0.0,2012/01/06,False,,10558,appdp2.3
Alzheimer's disease AND hippocampus AND GPL570,GSE110298,Hippocampal gene expression patterns linked to late-life physical activity opposes age and AD-related transcriptional decline,Homo sapiens,34.0,2018/12/31,False,Expression profiling by array,570,"exercise has emerged as a powerful variable that can improve cognitive function and delay age-associated cognitive decline and alzheimer’s disease (ad), however, the underlying mechanisms are poorly understood. to determine if protective mechanisms may occur at the transcriptional level, we used microarrays to investigate the relationship between physical activity levels and gene expression patterns in the cognitively-intact aged human hippocampus. in parallel, hippocampal gene expression patterns associated with aging and ad were assessed using publicly available microarray data profiling hippocampus from young (20-59 yrs), cognitively-intact aging (73-95 yrs) and age-matched ad cases. to identify “anti-aging/ad” transcription patterns associated with physical activity, probesets significantly associated with both physical activity and aging/ad were identified and their directions of expression change in each condition were compared. remarkably, of the 2138 probesets significant in both datasets, nearly 95% showed opposite transcription patterns with physical activity compared to aging/ad. the majority (>70%) of these anti-aging/ad genes showed increased expression with physical activity and decreased expression in aging/ad. enrichment analysis of the anti-aging/ad genes showing increased expression in association with physical activity revealed strong overrepresentation of mitochondrial energy production and synaptic function, along with axonal function and myelin integrity. synaptic genes were notably enriched for synaptic vesicle priming, release and recycling, glutamate and gaba signaling and synaptic spine plasticity. anti-aging/ad genes showing decreased expression in association with physical activity were enriched for transcription-related function. these data suggest that physical activity preserves a more youthful profile in the hippocampus across multiple biological processes, providing a potential molecular foundation for how physical activity can delay age- and ad-related decline of hippocampal function."
Alzheimer's disease AND hippocampus AND GPL570,GSE84422,Molecular Signatures Underlying Selective Regional Vulnerability to Alzheimer's Disease,Homo sapiens,2004.0,2016/08/19,True,Expression profiling by array,570;96;97,"alzheimer's disease (ad) is the most common form of dementia, characterized by progressive cognitive impairment and neurodegeneration as a result of abnormal neuronal loss. to elucidate the molecular systems associated with ad, we characterized the gene expression changes associated with multiple clinical and neuropathological traits in 1,053 postmortem brain samples across 19 brain regions from 125 persons dying with varying severities of dementia and variable ad-neuropathology severities."
Alzheimer's disease AND hippocampus AND GPL570,GSE17312,BI Human Reference Epigenome Mapping Project,Homo sapiens,633.0,2009/08/05,True,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,11154;9115;570;10999,"the nih roadmap epigenomics mapping consortium aims to produce a public resource of epigenomic maps for stem cells and primary ex vivo tissues selected to represent the normal counterparts of tissues and organ systems frequently involved in human disease. characterization of the reference epigenome in humans by use of chip-seq in a diverse panel of es cells, tissue stem cells, reprogrammed stem cells, primary cells and tissues **************** for data usage terms and conditions, please refer to: http://www.drugabuse.gov/funding/funding-opportunities/nih-common-fund/epigenomics-data-access-policies ****************"
Alzheimer's disease AND hippocampus AND GPL570,GSE9770,Non-demented individuals with intermediate Alzheimer's neuropathologies - neuronal expression (6 regions),Homo sapiens,34.0,2007/12/05,True,Expression profiling by array,570,"layer ii stellate neurons (entorhinal cortex) and layer iii cortical neurons (hippocampus ca1, middle temporal gyrus, posterior cingulate, superior frontal gyrus, primary visual cortex) were gene expression profiled. brain regions are from non-demented individuals with intermediate alzheimer's disease neuropathologies keywords: neuronal gene expression profiling"
Alzheimer's disease AND hippocampus AND GPL570,GSM242054,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 6,Homo sapiens,0.0,2007/12/05,False,,570,hippocampus 6
Alzheimer's disease AND hippocampus AND GPL570,GSM242053,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 5,Homo sapiens,0.0,2007/12/05,False,,570,hippocampus 5
Alzheimer's disease AND hippocampus AND GPL570,GSM242052,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 4,Homo sapiens,0.0,2007/12/05,False,,570,hippocampus 4
Alzheimer's disease AND hippocampus AND GPL570,GSM242051,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 3,Homo sapiens,0.0,2007/12/05,False,,570,hippocampus 3
Alzheimer's disease AND hippocampus AND GPL570,GSM242050,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 2,Homo sapiens,0.0,2007/12/05,False,,570,hippocampus 2
Alzheimer's disease AND hippocampus AND GPL570,GSM242049,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 1,Homo sapiens,0.0,2007/12/05,False,,570,hippocampus 1
Alzheimer's disease AND hippocampus AND GPL570,GSM238808,HIP_affected_10,Homo sapiens,0.0,2007/10/23,False,,570,"brain, hippocampus"
Alzheimer's disease AND hippocampus AND GPL570,GSM238807,HIP_affected_9,Homo sapiens,0.0,2007/10/23,False,,570,"brain, hippocampus"
Alzheimer's disease AND hippocampus AND GPL570,GSM238806,HIP_affected_8,Homo sapiens,0.0,2007/10/23,False,,570,"brain, hippocampus"
Alzheimer's disease AND hippocampus AND GPL570,GSM238805,HIP_affected_7,Homo sapiens,0.0,2007/10/23,False,,570,"brain, hippocampus"
Alzheimer's disease AND hippocampus AND GPL570,GSM238804,HIP_affected_6,Homo sapiens,0.0,2007/10/23,False,,570,"brain, hippocampus"
Alzheimer's disease AND hippocampus AND GPL570,GSM238803,HIP_affected_5,Homo sapiens,0.0,2007/10/23,False,,570,"brain, hippocampus"
Alzheimer's disease AND hippocampus AND GPL570,GSM238802,HIP_affected_4,Homo sapiens,0.0,2007/10/23,False,,570,"brain, hippocampus"
Alzheimer's disease AND hippocampus AND GPL570,GSM238801,HIP_affected_3,Homo sapiens,0.0,2007/10/23,False,,570,"brain, hippocampus"
Alzheimer's disease AND hippocampus AND GPL570,GSM238800,HIP_affected_2,Homo sapiens,0.0,2007/10/23,False,,570,"brain, hippocampus"
Alzheimer's disease AND hippocampus AND GPL570,GSM238799,HIP_affected_1,Homo sapiens,0.0,2007/10/23,False,,570,"brain, hippocampus"
Alzheimer's disease AND cortex AND GPL570,GSE318045,Whole transcriptome microarray gene expression profiling of cerebral cortex specimens from glioblastoma patients (Group1),Homo sapiens,10.0,2026/02/16,False,Expression profiling by array,570,"the prevalence of glioblastoma increases with age. advanced age is also one of the best-established risk factors for sporadic alzheimer's disease (ad). previous histopathological studies detected the occurrence of ad features in frontal cortex specimens from glioblastoma patients. this study aimed to identify ad-related transcript changes in cerebral cortex specimens obtained during surgery for glioblastoma. the study analyzed cerebral cortex specimens from three groups of glioblastoma patients (group1, group2, group3). the transcriptome study of this group1 includes specimens from 10 glioblastoma patients (patient1-patient10)."
Alzheimer's disease AND cortex AND GPL570,GSE66333,Neuronal DNA damage response-associated dysregulation of signalling pathways and cholesterol metabolism at th earliest stages of Alzheimer-type pathology,Homo sapiens,8.0,2015/06/02,True,Expression profiling by array,570,"high levels of oxidative stress and an associated neuronal ddr occur at the earliest stages of alzheimer pathology (low braak stage), and is associated with cognitive impairment. the aim of the present study was to combine immuno-lcm and microarray analysis to characterize the neuronal transcriptome at low braak stages (braak 0-ii), with respect to the neuronal ddr, in post-mortem human frontal cortex derived from the medical research council cognitive function and ageing study (mrc-cfas)."
Alzheimer's disease AND cortex AND GPL570,GSE29652,Microarray analysis of the astrocyte transcriptome in the ageing brain: relationship to Alzheimer's pathology and ApoE genotype,Homo sapiens,18.0,2011/06/01,True,Expression profiling by array,570,"astrocyte dysfunction impacts their normal function, including neuronal support, thereby contributing to neurodegenerative pathologies including alzheimer's disease (ad). therefore to understand the role of astrocytes in the pathogenesis of age-related disorders we analysed the gene expression profile of astrocytes with respect to alzheimer-type pathology. the aim of the present study was to combine immuno-lcm and microarray analysis to characterise the astrocyte transcriptome at different braak stages, and with respect to apoe genotype, in post-mortem human temporal cortex sampled dervied from the medical research council cognitive function and ageing study (mrc-cfas)."
Alzheimer's disease AND cortex AND GPL570,GDS4135,Postmortem temporal cortex from Medical Research Council Cognitive Function and Ageing Study (MRC-CFAS) cohort: astrocytes,Homo sapiens,18.0,2011/06/01,True,Expression profiling by array,570,"analysis of gfap+ astrocytes representing different braak stages and apoe genotypes, in post-mortem temporal cortex samples. astrocytes synthesize apoe, which is involved in the astrocytic clearance of aggregated β-amyloid plaques. results provide insight into role of apoe in alzheimer's pathology."
Alzheimer's disease AND cortex AND GPL570,GSE21779,"Gene expression data from temporal cortex of young adult, old and AD-like Microcebus murinus",Microcebus murinus; Homo sapiens,18.0,2011/04/01,True,Expression profiling by array,570,"aging is the primary risk factor of neurodegenerative disorders such as alzheimer's disease (ad). however, the molecular events occurring during brain aging are extremely complex and still largely unknown. for a better understanding of these age-associated modifications, animal models as close as possible to humans are needed. we thus analyzed the transcriptome of the temporal cortex of the primate microcebus murinus using human oligonucleotide microarrays (affymetrix). gene expression profiles were assessed in the temporal cortex of 6 young adults, 10 healthy old animals and 2 old, ""ad-like"" animals that presented b-amyloid plaques and cortical atrophy, which are pathognomonic signs of ad in humans. gene expression data of the 14,911 genes that were detected in at least 3 samples were analyzed. by sam (significance analysis of microarrays), we identified 47 genes that discriminated young from healthy old and ""ad-like"" animals. these findings were confirmed by principal component analysis (pca). anova of the expression data from the three groups identified 695 genes (including the 47 genes previously identified by sam and pca) with significant changes of expression in old and ""ad-like"" in comparison to young animals. about one third of these genes showed similar changes of expression in healthy aging and in “ad-like” animals, whereas more than two thirds showed opposite changes in these two groups in comparison to young animals. hierarchical clustering analysis of the 695 markers indicated that each group had distinct expression profiles which characterized each group, especially the ""ad-like"" group. functional categorization showed that most of the genes that were up-regulated in healthy old and down-regulated in ""ad-like"" animals belonged to metabolic pathways, particularly protein synthesis. these data suggest the existence of compensatory mechanisms during physiological brain aging that disappear in “ad-like” animals. these results open the way to new exploration of physiological and “ad-like” aging in primates."
Alzheimer's disease AND cortex AND GPL570,GDS4128,Model of cerebral aging and Alzheimer's disease: temporal cortex,Homo sapiens; Microcebus murinus,18.0,2011/04/01,True,Expression profiling by array,570,"analysis of temporal cortex of young adult, old healthy, and alzheimer’s disease (ad-like) animals. ad-like animals presented ß-amyloid plaques and cortical atrophy, which are signs of ad in humans. results provided insight into molecular basis of physiological versus pathological brain aging."
Alzheimer's disease AND cortex AND GPL570,GSE4757,Alzheimer’s disease: neurofibrillary tangles (Rogers-3U24NS043571-01S1),Homo sapiens,20.0,2006/05/02,True,Expression profiling by array,570,"alzheimer's disease (ad) is a devastating neurodegenerative disorder affecting approximately 4 million people in the u.s. alone. ad is characterized by the presence of senile plaques and neurofibrillary tangles in cortical regions of the brain. these pathological markers are thought to be responsible for the massive cortical neurodegeneration and concomitant loss of memory, reasoning, and often aberrant behaviors that are seen in patients with ad. understanding the molecular mechanisms whereby these histopathological markers develop will greatly enhance our understanding of ad development and progression. a clearer understanding of the mechanisms underlying neurofibrillary tangle formation specifically may help to clarify the basis for dementia of ad as well as the dementias associated with other diseases that are collectively referred to as ""tauopathies."" to expression profile both neurons containing neurofibrillary tangles and normal neurons from the entorhinal cortex of 10 mid-stage ad cases. the gene expression profile of neurons that contain neurofibrillary tangles will differ from the expression profile of histopathologically normal neurons from the same patient and from the same brain region. some of these differences will be informative as to the mechanisms of tangle formation. keywords: disease-state analysis"
Alzheimer's disease AND cortex AND GPL570,GDS2795,Alzheimer's disease: neurofibrillary tangles,Homo sapiens,20.0,2006/05/02,True,Expression profiling by array,570,analysis of entorhinal cortex neurons containing neurofibrillary tangles (nft) from 10 mid-stage alzheimer's disease (ad) patients. comparison with histopathologically normal neurons from the same patients and brain region. results provide insight into the formation of nfts in ad.
